Member,Type,Facility,Year,Date Of Commitment,Amount Agreed,Amount (mn),IFScode,Country,Region,Facility acronym,facilitycode,typecode,decade,incomecode
Brazil,GRA,Extended Fund Facility,1983,28-Feb-83,"4,239,375,000",4239.375,223,BRA,WHD,EFF,1,1,2,EMDE
Togo,GRA,Stand-By Arrangement,1983,4-Mar-83,"21,375,000",21.375,742,TGO,AFR,SBA,6,1,2,LIC
Kenya,GRA,Stand-By Arrangement,1983,21-Mar-83,"175,950,000",175.95,664,KEN,AFR,SBA,6,1,2,LIC
Zimbabwe,GRA,Stand-By Arrangement,1983,23-Mar-83,"300,000,000",300,698,ZWE,AFR,SBA,6,1,2,LIC
Bangladesh,GRA,Stand-By Arrangement,1983,28-Mar-83,"68,400,000",68.4,513,BGD,APD,SBA,6,1,2,LIC
Zambia,GRA,Stand-By Arrangement,1983,18-Apr-83,"211,500,000",211.5,754,ZMB,AFR,SBA,6,1,2,LIC
Central African Republic,GRA,Stand-By Arrangement,1983,22-Apr-83,"18,000,000",18,626,CAF,AFR,SBA,6,1,2,LIC
Uruguay,GRA,Stand-By Arrangement,1983,22-Apr-83,"378,000,000",378,298,URY,WHD,SBA,6,1,2,EMDE
Mauritius,GRA,Stand-By Arrangement,1983,18-May-83,"49,500,000",49.5,684,MUS,AFR,SBA,6,1,2,EMDE
Solomon Islands,GRA,Stand-By Arrangement,1983,22-Jun-83,"2,400,000",2.4,813,SLB,APD,SBA,6,1,2,LIC
Panama,GRA,Stand-By Arrangement,1983,24-Jun-83,"150,000,000",150,283,PAN,WHD,SBA,6,1,2,EMDE
"Türkiye, Republic of",GRA,Stand-By Arrangement,1983,24-Jun-83,"225,000,000",225,186,TUR,EUR,SBA,6,1,2,EMDE
Samoa,GRA,Stand-By Arrangement,1983,27-Jun-83,"3,375,000",3.375,862,WSM,APD,SBA,6,1,2,EMDE
Korea,GRA,Stand-By Arrangement,1983,8-Jul-83,"575,775,000",575.775,542,KOR,APD,SBA,6,1,2,AE
Ecuador,GRA,Stand-By Arrangement,1983,25-Jul-83,"157,500,000",157.5,248,ECU,WHD,SBA,6,1,2,EMDE
Ghana,GRA,Stand-By Arrangement,1983,3-Aug-83,"238,500,000",238.5,652,GHA,AFR,SBA,6,1,2,LIC
Grenada,GRA,Extended Fund Facility,1983,24-Aug-83,"13,500,000",13.5,328,GRD,WHD,EFF,1,1,2,EMDE
Guatemala,GRA,Stand-By Arrangement,1983,31-Aug-83,"114,750,000",114.75,258,GTM,WHD,SBA,6,1,2,EMDE
Liberia,GRA,Stand-By Arrangement,1983,14-Sep-83,"55,000,000",55,668,LBR,AFR,SBA,6,1,2,LIC
Sri Lanka,GRA,Stand-By Arrangement,1983,14-Sep-83,"100,000,000",100,524,LKA,APD,SBA,6,1,2,EMDE
Morocco,GRA,Stand-By Arrangement,1983,16-Sep-83,"300,000,000",300,686,MAR,MCD,SBA,6,1,2,EMDE
Uganda,GRA,Stand-By Arrangement,1983,16-Sep-83,"95,000,000",95,746,UGA,AFR,SBA,6,1,2,LIC
Malawi,GRA,Extended Fund Facility,1983,19-Sep-83,"100,000,000",100,676,MWI,AFR,EFF,1,1,2,LIC
Senegal,GRA,Stand-By Arrangement,1983,19-Sep-83,"63,000,000",63,722,SEN,AFR,SBA,6,1,2,LIC
Niger,GRA,Stand-By Arrangement,1983,5-Oct-83,"18,000,000",18,692,NER,AFR,SBA,6,1,2,LIC
Portugal,GRA,Stand-By Arrangement,1983,7-Oct-83,"445,000,000",445,182,PRT,EUR,SBA,6,1,2,AE
Haiti,GRA,Stand-By Arrangement,1983,7-Nov-83,"60,000,000",60,263,HTI,WHD,SBA,6,1,2,LIC
Mali,GRA,Stand-By Arrangement,1983,9-Dec-83,"40,500,000",40.5,678,MLI,AFR,SBA,6,1,2,LIC
"Congo, Democratic Republic of",GRA,Stand-By Arrangement,1983,27-Dec-83,"228,000,000",228,636,COD,AFR,SBA,6,1,2,LIC
Hungary,GRA,Stand-By Arrangement,1984,13-Jan-84,"425,000,000",425,944,HUN,EUR,SBA,6,1,2,EMDE
Sierra Leone,GRA,Stand-By Arrangement,1984,3-Feb-84,"50,200,000",50.2,724,SLE,AFR,SBA,6,1,2,LIC
"Türkiye, Republic of",GRA,Stand-By Arrangement,1984,4-Apr-84,"225,000,000",225,186,TUR,EUR,SBA,6,1,2,EMDE
Madagascar,GRA,Stand-By Arrangement,1984,10-Apr-84,"33,000,000",33,674,MDG,AFR,SBA,6,1,2,LIC
"Gambia, The",GRA,Stand-By Arrangement,1984,23-Apr-84,"12,830,000",12.83,648,GMB,AFR,SBA,6,1,2,LIC
Peru,GRA,Stand-By Arrangement,1984,26-Apr-84,"250,000,000",250,293,PER,WHD,SBA,6,1,2,EMDE
Togo,GRA,Stand-By Arrangement,1984,7-May-84,"19,000,000",19,742,TGO,AFR,SBA,6,1,2,LIC
Jamaica,GRA,Stand-By Arrangement,1984,22-Jun-84,"64,000,000",64,343,JAM,WHD,SBA,6,1,2,EMDE
Sudan,GRA,Stand-By Arrangement,1984,25-Jun-84,"90,000,000",90,732,SDN,MCD,SBA,6,1,2,LIC
Central African Republic,GRA,Stand-By Arrangement,1984,6-Jul-84,"15,000,000",15,626,CAF,AFR,SBA,6,1,2,LIC
Samoa,GRA,Stand-By Arrangement,1984,9-Jul-84,"3,375,000",3.375,862,WSM,APD,SBA,6,1,2,EMDE
Dominica,GRA,Stand-By Arrangement,1984,18-Jul-84,"1,400,000",1.4,321,DMA,WHD,SBA,6,1,2,EMDE
Zambia,GRA,Stand-By Arrangement,1984,26-Jul-84,"225,000,000",225,754,ZMB,AFR,SBA,6,1,2,LIC
Côte d'Ivoire,GRA,Stand-By Arrangement,1984,3-Aug-84,"82,750,000",82.75,662,CIV,AFR,SBA,6,1,2,LIC
Ghana,GRA,Stand-By Arrangement,1984,27-Aug-84,"180,000,000",180,652,GHA,AFR,SBA,6,1,2,LIC
Belize,GRA,Stand-By Arrangement,1984,3-Dec-84,"7,125,000",7.125,339,BLZ,WHD,SBA,6,1,2,EMDE
Niger,GRA,Stand-By Arrangement,1984,5-Dec-84,"16,000,000",16,692,NER,AFR,SBA,6,1,2,LIC
Liberia,GRA,Stand-By Arrangement,1984,7-Dec-84,"42,780,000",42.78,668,LBR,AFR,SBA,6,1,2,LIC
Philippines,GRA,Stand-By Arrangement,1984,14-Dec-84,"615,000,000",615,566,PHL,APD,SBA,6,1,2,EMDE
Argentina,GRA,Stand-By Arrangement,1984,28-Dec-84,"1,419,000,000",1419,213,ARG,WHD,SBA,6,1,2,EMDE
Senegal,GRA,Stand-By Arrangement,1985,16-Jan-85,"76,600,000",76.6,722,SEN,AFR,SBA,6,1,2,LIC
Kenya,GRA,Stand-By Arrangement,1985,8-Feb-85,"85,200,000",85.2,664,KEN,AFR,SBA,6,1,2,LIC
Somalia,GRA,Stand-By Arrangement,1985,22-Feb-85,"22,100,000",22.1,726,SOM,MCD,SBA,6,1,2,LIC
Mauritius,GRA,Stand-By Arrangement,1985,1-Mar-85,"49,000,000",49,684,MUS,AFR,SBA,6,1,2,EMDE
Ecuador,GRA,Stand-By Arrangement,1985,11-Mar-85,"105,500,000",105.5,248,ECU,WHD,SBA,6,1,2,EMDE
Costa Rica,GRA,Stand-By Arrangement,1985,13-Mar-85,"54,000,000",54,238,CRI,WHD,SBA,6,1,2,EMDE
Mauritania,GRA,Stand-By Arrangement,1985,12-Apr-85,"12,000,000",12,682,MRT,MCD,SBA,6,1,2,LIC
Dominican Republic,GRA,Stand-By Arrangement,1985,15-Apr-85,"78,500,000",78.5,243,DOM,WHD,SBA,6,1,2,EMDE
Madagascar,GRA,Stand-By Arrangement,1985,23-Apr-85,"29,500,000",29.5,674,MDG,AFR,SBA,6,1,2,LIC
"Congo, Democratic Republic of",GRA,Stand-By Arrangement,1985,24-Apr-85,"162,000,000",162,636,COD,AFR,SBA,6,1,2,LIC
Togo,GRA,Stand-By Arrangement,1985,17-May-85,"15,360,000",15.36,742,TGO,AFR,SBA,6,1,2,LIC
Côte d'Ivoire,GRA,Stand-By Arrangement,1985,3-Jun-85,"66,200,000",66.2,662,CIV,AFR,SBA,6,1,2,LIC
Thailand,GRA,Stand-By Arrangement,1985,14-Jun-85,"400,000,000",400,578,THA,APD,SBA,6,1,2,EMDE
Equatorial Guinea,GRA,Stand-By Arrangement,1985,28-Jun-85,"9,200,000",9.2,642,GNQ,AFR,SBA,6,1,2,EMDE
Korea,GRA,Stand-By Arrangement,1985,12-Jul-85,"280,000,000",280,542,KOR,APD,SBA,6,1,2,AE
Panama,GRA,Stand-By Arrangement,1985,15-Jul-85,"90,000,000",90,283,PAN,WHD,SBA,6,1,2,EMDE
Jamaica,GRA,Stand-By Arrangement,1985,17-Jul-85,"115,000,000",115,343,JAM,WHD,SBA,6,1,2,EMDE
Chile,GRA,Extended Fund Facility,1985,15-Aug-85,"750,000,000",750,228,CHL,WHD,EFF,1,1,2,EMDE
Morocco,GRA,Stand-By Arrangement,1985,12-Sep-85,"200,000,000",200,686,MAR,MCD,SBA,6,1,2,EMDE
Central African Republic,GRA,Stand-By Arrangement,1985,23-Sep-85,"15,000,000",15,626,CAF,AFR,SBA,6,1,2,LIC
Uruguay,GRA,Stand-By Arrangement,1985,27-Sep-85,"122,850,000",122.85,298,URY,WHD,SBA,6,1,2,EMDE
Mali,GRA,Stand-By Arrangement,1985,8-Nov-85,"22,860,000",22.86,678,MLI,AFR,SBA,6,1,2,LIC
Bangladesh,GRA,Stand-By Arrangement,1985,2-Dec-85,"180,000,000",180,513,BGD,APD,SBA,6,1,2,LIC
Niger,GRA,Stand-By Arrangement,1985,5-Dec-85,"13,480,000",13.48,692,NER,AFR,SBA,6,1,2,LIC
Nepal,GRA,Stand-By Arrangement,1985,23-Dec-85,"18,650,000",18.65,558,NPL,APD,SBA,6,1,2,LIC
Guinea,GRA,Stand-By Arrangement,1986,3-Feb-86,"33,000,000",33,656,GIN,AFR,SBA,6,1,2,LIC
Zambia,GRA,Stand-By Arrangement,1986,21-Feb-86,"229,800,000",229.8,754,ZMB,AFR,SBA,6,1,2,LIC
Mauritania,GRA,Stand-By Arrangement,1986,26-Apr-86,"12,000,000",12,682,MRT,MCD,SBA,6,1,2,LIC
"Congo, Democratic Republic of",GRA,Stand-By Arrangement,1986,28-May-86,"214,200,000",214.2,636,COD,AFR,SBA,6,1,2,LIC
Togo,GRA,Stand-By Arrangement,1986,9-Jun-86,"23,040,000",23.04,742,TGO,AFR,SBA,6,1,2,LIC
Bolivia,GRA,Stand-By Arrangement,1986,19-Jun-86,"50,000,000",50,218,BOL,WHD,SBA,6,1,2,EMDE
Côte d'Ivoire,GRA,Stand-By Arrangement,1986,23-Jun-86,"100,000,000",100,662,CIV,AFR,SBA,6,1,2,LIC
Burundi,GRA,Stand-By Arrangement,1986,8-Aug-86,"21,000,000",21,618,BDI,AFR,SBA,6,1,2,LIC
Burundi,PRGT,Structural Adjustment Facility,1986,8-Aug-86,"20,069,000",20.069,618,BDI,AFR,SAF,11,2,2,LIC
Ecuador,GRA,Stand-By Arrangement,1986,15-Aug-86,"75,400,000",75.4,248,ECU,WHD,SBA,6,1,2,EMDE
Tanzania,GRA,Stand-By Arrangement,1986,28-Aug-86,"64,200,000",64.2,738,TZA,AFR,SBA,6,1,2,LIC
"Congo, Republic of",GRA,Stand-By Arrangement,1986,29-Aug-86,"22,400,000",22.4,634,COG,AFR,SBA,6,1,2,LIC
"Gambia, The",GRA,Stand-By Arrangement,1986,17-Sep-86,"5,130,000",5.13,648,GMB,AFR,SBA,6,1,2,LIC
"Gambia, The",PRGT,Structural Adjustment Facility,1986,17-Sep-86,"8,037,000",8.037,648,GMB,AFR,SAF,11,2,2,LIC
Madagascar,GRA,Stand-By Arrangement,1986,17-Sep-86,"30,000,000",30,674,MDG,AFR,SBA,6,1,2,LIC
Mauritania,PRGT,Structural Adjustment Facility,1986,22-Sep-86,"15,933,000",15.933,682,MRT,MCD,SAF,11,2,2,LIC
Ghana,GRA,Stand-By Arrangement,1986,15-Oct-86,"81,800,000",81.8,652,GHA,AFR,SBA,6,1,2,LIC
Philippines,GRA,Stand-By Arrangement,1986,24-Oct-86,"198,000,000",198,566,PHL,APD,SBA,6,1,2,EMDE
Tunisia,GRA,Stand-By Arrangement,1986,4-Nov-86,"103,650,000",103.65,744,TUN,MCD,SBA,6,1,2,EMDE
Senegal,GRA,Stand-By Arrangement,1986,10-Nov-86,"34,000,000",34,722,SEN,AFR,SBA,6,1,2,LIC
Senegal,PRGT,Structural Adjustment Facility,1986,10-Nov-86,"39,997,000",39.997,722,SEN,AFR,SAF,11,2,2,LIC
China,GRA,Stand-By Arrangement,1986,12-Nov-86,"597,725,000",597.725,924,CHN,APD,SBA,6,1,2,EMDE
Sierra Leone,GRA,Stand-By Arrangement,1986,14-Nov-86,"23,160,000",23.16,724,SLE,AFR,SBA,6,1,2,LIC
Sierra Leone,PRGT,Structural Adjustment Facility,1986,14-Nov-86,"27,213,000",27.213,724,SLE,AFR,SAF,11,2,2,LIC
Niger,PRGT,Structural Adjustment Facility,1986,17-Nov-86,"15,839,000",15.839,692,NER,AFR,SAF,11,2,2,LIC
Mexico,GRA,Stand-By Arrangement,1986,19-Nov-86,"1,400,000,000",1400,273,MEX,WHD,SBA,6,1,2,EMDE
Dominica,PRGT,Structural Adjustment Facility,1986,26-Nov-86,"1,880,000",1.88,321,DMA,WHD,SAF,11,2,2,EMDE
Niger,GRA,Stand-By Arrangement,1986,5-Dec-86,"10,110,000",10.11,692,NER,AFR,SBA,6,1,2,LIC
Bolivia,PRGT,Structural Adjustment Facility,1986,15-Dec-86,"42,629,000",42.629,218,BOL,WHD,SAF,11,2,2,EMDE
Morocco,GRA,Stand-By Arrangement,1986,16-Dec-86,"230,000,000",230,686,MAR,MCD,SBA,6,1,2,EMDE
Haiti,PRGT,Structural Adjustment Facility,1986,17-Dec-86,"20,727,000",20.727,263,HTI,WHD,SAF,11,2,2,LIC
Gabon,GRA,Stand-By Arrangement,1986,22-Dec-86,"98,685,000",98.685,646,GAB,AFR,SBA,6,1,2,EMDE
Nigeria,GRA,Stand-By Arrangement,1987,30-Jan-87,"650,000,000",650,694,NGA,AFR,SBA,6,1,2,LIC
Bangladesh,PRGT,Structural Adjustment Facility,1987,6-Feb-87,"135,125,000",135.125,513,BGD,APD,SAF,11,2,2,LIC
Jamaica,GRA,Stand-By Arrangement,1987,2-Mar-87,"85,000,000",85,343,JAM,WHD,SBA,6,1,2,EMDE
Mauritania,GRA,Stand-By Arrangement,1987,4-May-87,"10,000,000",10,682,MRT,MCD,SBA,6,1,2,LIC
"Congo, Democratic Republic of",GRA,Stand-By Arrangement,1987,15-May-87,"100,000,000",100,636,COD,AFR,SBA,6,1,2,LIC
"Congo, Democratic Republic of",PRGT,Structural Adjustment Facility,1987,15-May-87,"136,770,000",136.77,636,COD,AFR,SAF,11,2,2,LIC
Egypt,GRA,Stand-By Arrangement,1987,15-May-87,"250,000,000",250,469,EGY,MCD,SBA,6,1,2,EMDE
Central African Republic,GRA,Stand-By Arrangement,1987,1-Jun-87,"8,000,000",8,626,CAF,AFR,SBA,6,1,2,LIC
Central African Republic,PRGT,Structural Adjustment Facility,1987,1-Jun-87,"14,288,000",14.288,626,CAF,AFR,SAF,11,2,2,LIC
Mozambique,PRGT,Structural Adjustment Facility,1987,8-Jun-87,"28,670,000",28.67,688,MOZ,AFR,SAF,11,2,2,LIC
Uganda,PRGT,Structural Adjustment Facility,1987,15-Jun-87,"46,812,000",46.812,746,UGA,AFR,SAF,11,2,2,LIC
Somalia,GRA,Stand-By Arrangement,1987,29-Jun-87,"33,150,000",33.15,726,SOM,MCD,SBA,6,1,2,LIC
Somalia,PRGT,Structural Adjustment Facility,1987,29-Jun-87,"20,774,000",20.774,726,SOM,MCD,SAF,11,2,2,LIC
Argentina,GRA,Stand-By Arrangement,1987,23-Jul-87,"1,113,000,000",1113,213,ARG,WHD,SBA,6,1,2,EMDE
Guinea,GRA,Stand-By Arrangement,1987,29-Jul-87,"11,600,000",11.6,656,GIN,AFR,SBA,6,1,2,LIC
Guinea,PRGT,Structural Adjustment Facility,1987,29-Jul-87,"36,766,500",36.7665,656,GIN,AFR,SAF,11,2,2,LIC
Madagascar,PRGT,Structural Adjustment Facility,1987,31-Aug-87,"42,164,000",42.164,674,MDG,AFR,SAF,11,2,2,LIC
Guinea-Bissau,PRGT,Structural Adjustment Facility,1987,14-Oct-87,"4,762,500",4.7625,654,GNB,AFR,SAF,11,2,2,LIC
Nepal,PRGT,Structural Adjustment Facility,1987,14-Oct-87,"23,685,500",23.6855,558,NPL,APD,SAF,11,2,2,LIC
Senegal,GRA,Stand-By Arrangement,1987,26-Oct-87,"21,275,000",21.275,722,SEN,AFR,SBA,6,1,2,LIC
Costa Rica,GRA,Stand-By Arrangement,1987,28-Oct-87,"50,000,000",50,238,CRI,WHD,SBA,6,1,2,EMDE
Chad,PRGT,Structural Adjustment Facility,1987,30-Oct-87,"19,431,000",19.431,628,TCD,AFR,SAF,11,2,2,LIC
Tanzania,PRGT,Structural Adjustment Facility,1987,30-Oct-87,"67,945,000",67.945,738,TZA,AFR,SAF,11,2,2,LIC
Ghana,GRA,Extended Fund Facility,1987,6-Nov-87,"245,400,000",245.4,652,GHA,AFR,EFF,1,1,2,LIC
Ghana,PRGT,Structural Adjustment Facility,1987,6-Nov-87,"129,857,500",129.8575,652,GHA,AFR,SAF,11,2,2,LIC
Ecuador,GRA,Stand-By Arrangement,1988,4-Jan-88,"75,350,000",75.35,248,ECU,WHD,SBA,6,1,2,EMDE
Kenya,GRA,Stand-By Arrangement,1988,1-Feb-88,"85,000,000",85,664,KEN,AFR,SBA,6,1,2,LIC
Kenya,PRGT,Structural Adjustment Facility,1988,1-Feb-88,"90,170,000",90.17,664,KEN,AFR,SAF,11,2,2,LIC
Côte d'Ivoire,GRA,Stand-By Arrangement,1988,29-Feb-88,"94,000,000",94,662,CIV,AFR,SBA,6,1,2,LIC
Malawi,GRA,Stand-By Arrangement,1988,2-Mar-88,"13,020,000",13.02,676,MWI,AFR,SBA,6,1,2,LIC
Sri Lanka,PRGT,Structural Adjustment Facility,1988,9-Mar-88,"141,668,500",141.6685,524,LKA,APD,SAF,11,2,2,EMDE
Togo,GRA,Stand-By Arrangement,1988,16-Mar-88,"13,000,000",13,742,TGO,AFR,SBA,6,1,2,LIC
Togo,PRGT,Structural Adjustment Facility,1988,16-Mar-88,"24,384,000",24.384,742,TGO,AFR,SAF,11,2,2,LIC
Hungary,GRA,Stand-By Arrangement,1988,16-May-88,"265,350,000",265.35,944,HUN,EUR,SBA,6,1,2,EMDE
Lesotho,PRGT,Structural Adjustment Facility,1988,29-Jun-88,"9,588,500",9.5885,666,LSO,AFR,SAF,11,2,2,LIC
Malawi,PRGT,Extended Credit Facility,1988,15-Jul-88,"55,800,000",55.8,676,MWI,AFR,ECF,8,2,2,LIC
Tunisia,GRA,Extended Fund Facility,1988,25-Jul-88,"207,300,000",207.3,744,TUN,MCD,EFF,1,1,2,EMDE
Bolivia,PRGT,Extended Credit Facility,1988,27-Jul-88,"136,050,000",136.05,218,BOL,WHD,ECF,8,2,2,EMDE
Mali,GRA,Stand-By Arrangement,1988,5-Aug-88,"12,700,000",12.7,678,MLI,AFR,SBA,6,1,2,LIC
Mali,PRGT,Structural Adjustment Facility,1988,5-Aug-88,"32,258,000",32.258,678,MLI,AFR,SAF,11,2,2,LIC
Brazil,GRA,Stand-By Arrangement,1988,23-Aug-88,"1,096,000,000",1096,223,BRA,WHD,SBA,6,1,2,EMDE
Morocco,GRA,Stand-By Arrangement,1988,30-Aug-88,"210,000,000",210,686,MAR,MCD,SBA,6,1,2,EMDE
Madagascar,GRA,Stand-By Arrangement,1988,2-Sep-88,"13,300,000",13.3,674,MDG,AFR,SBA,6,1,2,LIC
Cameroon,GRA,Stand-By Arrangement,1988,19-Sep-88,"69,525,000",69.525,622,CMR,AFR,SBA,6,1,2,LIC
Jamaica,GRA,Stand-By Arrangement,1988,19-Sep-88,"82,000,000",82,343,JAM,WHD,SBA,6,1,2,EMDE
Guatemala,GRA,Stand-By Arrangement,1988,26-Oct-88,"54,000,000",54,258,GTM,WHD,SBA,6,1,2,EMDE
Ghana,PRGT,Extended Credit Facility,1988,9-Nov-88,"368,100,000",368.1,652,GHA,AFR,ECF,8,2,2,LIC
Senegal,PRGT,Extended Credit Facility,1988,21-Nov-88,"144,670,000",144.67,722,SEN,AFR,ECF,8,2,2,LIC
"Gambia, The",PRGT,Extended Credit Facility,1988,23-Nov-88,"20,520,000",20.52,648,GMB,AFR,ECF,8,2,2,LIC
Equatorial Guinea,PRGT,Structural Adjustment Facility,1988,7-Dec-88,"11,680,000",11.68,642,GNQ,AFR,SAF,11,2,2,EMDE
Niger,PRGT,Extended Credit Facility,1988,12-Dec-88,"50,550,000",50.55,692,NER,AFR,ECF,8,2,2,LIC
Pakistan,GRA,Stand-By Arrangement,1988,28-Dec-88,"273,150,000",273.15,564,PAK,MCD,SBA,6,1,2,EMDE
Pakistan,PRGT,Structural Adjustment Facility,1988,28-Dec-88,"346,900,000",346.9,564,PAK,MCD,SAF,11,2,2,EMDE
Trinidad and Tobago,GRA,Stand-By Arrangement,1989,13-Jan-89,"99,000,000",99,369,TTO,WHD,SBA,6,1,2,EMDE
Nigeria,GRA,Stand-By Arrangement,1989,3-Feb-89,"475,000,000",475,694,NGA,AFR,SBA,6,1,2,LIC
Uganda,PRGT,Extended Credit Facility,1989,17-Apr-89,"179,280,000",179.28,746,UGA,AFR,ECF,8,2,2,LIC
Kenya,PRGT,Extended Credit Facility,1989,15-May-89,"241,400,000",241.4,664,KEN,AFR,ECF,8,2,2,LIC
Madagascar,PRGT,Extended Credit Facility,1989,15-May-89,"76,900,000",76.9,674,MDG,AFR,ECF,8,2,2,LIC
Costa Rica,GRA,Stand-By Arrangement,1989,23-May-89,"42,000,000",42,238,CRI,WHD,SBA,6,1,2,EMDE
Philippines,GRA,Extended Fund Facility,1989,23-May-89,"660,600,000",660.6,566,PHL,APD,EFF,1,1,2,EMDE
Mauritania,PRGT,Extended Credit Facility,1989,24-May-89,"50,850,000",50.85,682,MRT,MCD,ECF,8,2,2,LIC
Mexico,GRA,Extended Fund Facility,1989,26-May-89,"2,797,200,000",2797.2,273,MEX,WHD,EFF,1,1,2,EMDE
Algeria,GRA,Stand-By Arrangement,1989,31-May-89,"155,700,000",155.7,612,DZA,MCD,SBA,6,1,2,EMDE
Togo,PRGT,Extended Credit Facility,1989,31-May-89,"46,080,000",46.08,742,TGO,AFR,ECF,8,2,2,LIC
Sao Tome & Principe,PRGT,Structural Adjustment Facility,1989,2-Jun-89,"2,800,000",2.8,716,STP,AFR,SAF,11,2,2,LIC
"Congo, Democratic Republic of",GRA,Stand-By Arrangement,1989,9-Jun-89,"116,400,000",116.4,636,COD,AFR,SBA,6,1,2,LIC
Benin,PRGT,Structural Adjustment Facility,1989,16-Jun-89,"21,910,000",21.91,638,BEN,AFR,SAF,11,2,2,LIC
Venezuela,GRA,Extended Fund Facility,1989,23-Jun-89,"3,703,050,000",3703.05,299,VEN,WHD,EFF,1,1,2,EMDE
Jordan,GRA,Stand-By Arrangement,1989,14-Jul-89,"60,000,000",60,439,JOR,MCD,SBA,6,1,2,EMDE
Ecuador,GRA,Stand-By Arrangement,1989,15-Sep-89,"109,900,000",109.9,248,ECU,WHD,SBA,6,1,2,EMDE
Gabon,GRA,Stand-By Arrangement,1989,15-Sep-89,"43,000,000",43,646,GAB,AFR,SBA,6,1,2,EMDE
Haiti,GRA,Stand-By Arrangement,1989,18-Sep-89,"21,000,000",21,263,HTI,WHD,SBA,6,1,2,LIC
Lao People's Democratic Republic,PRGT,Structural Adjustment Facility,1989,18-Sep-89,"20,510,000",20.51,544,LAO,APD,SAF,11,2,2,LIC
Chile,GRA,Stand-By Arrangement,1989,8-Nov-89,"64,000,000",64,228,CHL,WHD,SBA,6,1,2,EMDE
Argentina,GRA,Stand-By Arrangement,1989,10-Nov-89,"1,104,000,000",1104,213,ARG,WHD,SBA,6,1,2,EMDE
Côte d'Ivoire,GRA,Stand-By Arrangement,1989,20-Nov-89,"175,800,000",175.8,662,CIV,AFR,SBA,6,1,2,LIC
"Poland, Republic of",GRA,Stand-By Arrangement,1990,5-Feb-90,"545,000,000",545,964,POL,EUR,SBA,6,1,3,EMDE
Hungary,GRA,Stand-By Arrangement,1990,14-Mar-90,"159,210,000",159.21,944,HUN,EUR,SBA,6,1,3,EMDE
Jamaica,GRA,Stand-By Arrangement,1990,23-Mar-90,"82,000,000",82,343,JAM,WHD,SBA,6,1,3,EMDE
Trinidad and Tobago,GRA,Stand-By Arrangement,1990,20-Apr-90,"85,000,000",85,369,TTO,WHD,SBA,6,1,3,EMDE
Papua New Guinea,GRA,Stand-By Arrangement,1990,25-Apr-90,"26,360,000",26.36,853,PNG,APD,SBA,6,1,3,LIC
Mozambique,PRGT,Extended Credit Facility,1990,1-Jun-90,"85,400,000",85.4,688,MOZ,AFR,ECF,8,2,3,LIC
Guyana,GRA,Stand-By Arrangement,1990,13-Jul-90,"49,500,000",49.5,336,GUY,WHD,SBA,6,1,3,EMDE
Guyana,PRGT,Extended Credit Facility,1990,13-Jul-90,"81,524,400",81.5244,336,GUY,WHD,ECF,8,2,3,EMDE
Morocco,GRA,Stand-By Arrangement,1990,20-Jul-90,"100,000,000",100,686,MAR,MCD,SBA,6,1,3,EMDE
Honduras,GRA,Stand-By Arrangement,1990,27-Jul-90,"30,500,000",30.5,268,HND,WHD,SBA,6,1,3,LIC
Bangladesh,PRGT,Extended Credit Facility,1990,10-Aug-90,"258,750,000",258.75,513,BGD,APD,ECF,8,2,3,LIC
"Congo, Republic of",GRA,Stand-By Arrangement,1990,27-Aug-90,"27,975,000",27.975,634,COG,AFR,SBA,6,1,3,LIC
El Salvador,GRA,Stand-By Arrangement,1990,27-Aug-90,"35,600,000",35.6,253,SLV,WHD,SBA,6,1,3,EMDE
Uruguay,GRA,Stand-By Arrangement,1990,12-Dec-90,"94,800,000",94.8,298,URY,WHD,SBA,6,1,3,EMDE
Nigeria,GRA,Stand-By Arrangement,1991,9-Jan-91,"319,000,000",319,694,NGA,AFR,SBA,6,1,3,LIC
India,GRA,Stand-By Arrangement,1991,18-Jan-91,"551,925,000",551.925,534,IND,APD,SBA,6,1,3,EMDE
Hungary,GRA,Extended Fund Facility,1991,20-Feb-91,"1,114,000,000",1114,944,HUN,EUR,EFF,1,1,3,EMDE
Philippines,GRA,Stand-By Arrangement,1991,20-Feb-91,"264,200,000",264.2,566,PHL,APD,SBA,6,1,3,EMDE
Burkina Faso,PRGT,Structural Adjustment Facility,1991,13-Mar-91,"22,120,000",22.12,748,BFA,AFR,SAF,11,2,3,LIC
Bulgaria,GRA,Stand-By Arrangement,1991,15-Mar-91,"279,000,000",279,918,BGR,EUR,SBA,6,1,3,EMDE
Costa Rica,GRA,Stand-By Arrangement,1991,8-Apr-91,"33,640,000",33.64,238,CRI,WHD,SBA,6,1,3,EMDE
Romania,GRA,Stand-By Arrangement,1991,11-Apr-91,"380,500,000",380.5,968,ROM,EUR,SBA,6,1,3,EMDE
"Poland, Republic of",GRA,Extended Fund Facility,1991,18-Apr-91,"1,224,000,000",1224,964,POL,EUR,EFF,1,1,3,EMDE
Rwanda,PRGT,Structural Adjustment Facility,1991,24-Apr-91,"30,660,000",30.66,714,RWA,AFR,SAF,11,2,3,LIC
Egypt,GRA,Stand-By Arrangement,1991,17-May-91,"278,000,000",278,469,EGY,MCD,SBA,6,1,3,EMDE
Lesotho,PRGT,Extended Credit Facility,1991,22-May-91,"18,120,000",18.12,666,LSO,AFR,ECF,8,2,3,LIC
